context_id,k,gap,censored
6a90b99fad,20,2.0014800002101243,False
51d6400a08,20,3.713572066704308,True
db22f87d7a,20,2.5649493574615367,False
ee6d1d8607,20,1.0360919316867758,False
8cece9a79d,20,3.713572066704308,True
245efb8f96,20,1.6094379124341003,False
e60f1726bf,20,3.713572066704308,True
c235c6b5ad,20,3.713572066704308,True
1766488b92,20,2.0014800002101243,False
1f5580d744,20,3.713572066704308,True
91318bf4d3,20,3.713572066704308,True
a1a4be340b,20,2.0014800002101243,False
211c678362,20,3.713572066704308,True
d42f0df203,20,2.5649493574615367,False
ac519b8956,20,3.713572066704308,True
a37f4b590f,20,3.713572066704308,True
00eca9f7a0,20,3.713572066704308,True
5ad83de10a,20,1.2992829841302609,False
e1df31c59a,20,2.0014800002101243,False
03fc074e6d,20,3.713572066704308,True
088dae60cf,20,3.713572066704308,True
3d2fc72097,20,3.713572066704308,True
689d3c8d32,20,2.5649493574615367,False
f8c182ff75,20,3.713572066704308,True
b1e3b23787,20,2.5649493574615367,False
71caf2f505,20,2.5649493574615367,False
0f4bf7eda4,20,1.2992829841302609,False
b9a83efb23,20,3.713572066704308,True
606158ac03,20,3.713572066704308,True
591b5fbd7d,20,1.550597412411167,False
4767e808e1,20,2.5649493574615367,False
c8c8d77dba,20,2.5649493574615367,False
e903c10ef7,20,2.5649493574615367,False
0833eb79a6,20,3.713572066704308,True
eab17ce663,20,2.5649493574615367,False
82e5d9540f,20,3.713572066704308,True
cc6af13856,20,1.6094379124341003,False
439ef3c94c,20,3.713572066704308,True
8570302958,20,3.713572066704308,True
411b784d52,20,3.713572066704308,True
41d8c81766,20,2.5649493574615367,False
9fd9cf6412,20,2.5649493574615367,False
11ca071f20,20,0.8023464725249373,False
345667fe4a,20,1.6094379124341003,False
3ade5bf72a,20,3.713572066704308,True
8597060269,20,2.5649493574615367,False
7cac785680,20,3.713572066704308,True
3a12303e3b,20,2.5649493574615367,False
f7cd597b1c,20,3.713572066704308,True
19adb872e9,20,3.713572066704308,True
cdb654adc4,20,2.5649493574615367,False
1b70778b89,20,3.713572066704308,True
83079a3bb4,20,3.713572066704308,True
610d852ea9,20,3.713572066704308,True
83a259a5b9,20,2.5649493574615367,False
bc97fa98d6,20,2.0014800002101243,False
c294336ad1,20,3.713572066704308,True
8496fe8c9f,20,1.2992829841302609,False
ce32a6e370,20,2.5649493574615367,False
7d75530d40,20,3.713572066704308,True
b726d14591,20,0.19105523676270922,False
f3a256104d,20,3.713572066704308,True
ec7cc377e9,20,3.713572066704308,True
f745493089,20,3.713572066704308,True
84edcec6af,20,3.713572066704308,True
a6b31b5453,20,3.713572066704308,True
a9cc455d40,20,3.713572066704308,True
b1ff3bfa27,20,3.713572066704308,True
6e45f3d730,20,2.5649493574615367,False
2818283cfb,20,3.713572066704308,True
d8fe3e845e,20,3.713572066704308,True
0cad7f471f,20,3.713572066704308,True
deff7fa553,20,3.713572066704308,True
2f71e1513a,20,3.713572066704308,True
c17a807761,20,3.713572066704308,True
00df6c5117,20,2.0014800002101243,False
